"scientific_name","family","taxonrank","gbif_rec"
"Sturnira sorianoi Sánchez-Hernández, Romero-Almaraz & Schnell, 2005","Phyllostomidae","SPECIES","1"
"Hsunycteris cadenai (Woodman & Timm, 2006)","Phyllostomidae","SPECIES","1"
"Nyctinomops Miller, 1902","Molossidae","GENUS","1"
"Eptesicus brasiliensis melanopterus (Jentink, 1904)","Vespertilionidae","SUBSPECIES","1"
"Eptesicus chiriquinus Simmons & Voss, 1998","Vespertilionidae","SPECIES","1"
"Artibeus rosenbergi (Thomas, 1897)","Phyllostomidae","SPECIES","1"
"Artibeus ravus (Miller, 1902)","Phyllostomidae","SPECIES","1"
"Mustelidae","Mustelidae","FAMILY","1"
"Tapirus terrestris (Linnaeus, 1758)","Tapiridae","SPECIES","1"
"Mustela felipei Izor & de la Torre, 1978","Mustelidae","SPECIES","1"
"Lagothrix lagothricha lagothricha","Atelidae","SUBSPECIES","1"
"Nephelomys Weksler, Percequillo & Voss, 2006","Cricetidae","GENUS","1"
"Lonchophylla cadenai Woodman & Timm, 2006","Phyllostomidae","SPECIES","1"
"Mirounga leonina (Linnaeus, 1758)","Phocidae","SPECIES","1"
"Nephelomys meridensis (Thomas, 1894)","Cricetidae","SPECIES","1"
"Lophostoma brasiliense Peters, 1867","Phyllostomidae","SPECIES","1"
"Vampyrum spectrum (Linnaeus, 1758)","Phyllostomidae","SPECIES","1"
"Tonatia bakeri Williams, Willig & Reid, 1995","Phyllostomidae","SPECIES","1"
"Vampyrodes Thomas, 1900","Phyllostomidae","GENUS","1"
"Eumops perotis (Schinz, 1821)","Molossidae","SPECIES","1"
"Cryptotis thomasi (Merriam, 1897)","Soricidae","SPECIES","1"
"Cormura brevirostris (Wagner, 1843)","Emballonuridae","SPECIES","1"
"Proechimys chrysaeolus (Thomas, 1898)","Echimyidae","SPECIES","1"
"Platyrrhinus dorsalis chocoensis Alberico & Velasco, 1991","Phyllostomidae","SUBSPECIES","1"
"Vampyrops helleri Peters, 1866","Phyllostomidae","SPECIES","1"
"Dasypterus ega (Gervais, 1856)","Vespertilionidae","SPECIES","1"
"Lonchophylla mordax Thomas, 1903","Phyllostomidae","SPECIES","1"
"Pudu mephistophiles (de Winton, 1896)","Cervidae","SPECIES","1"
"Myrmecophagidae","Myrmecophagidae","FAMILY","1"
"Choloepus Illiger, 1811","Megalonychidae","GENUS","1"
"Glossophaga longirostris Miller, 1898","Phyllostomidae","SPECIES","1"
"Myotis oxyotus (Peters, 1867)","Vespertilionidae","SPECIES","1"
"Rattus rattus rattus","Muridae","SUBSPECIES","1"
"Reithrodontomys Giglioli, 1874","Cricetidae","GENUS","1"
"Chironectes minimus panamensis Goldman, 1914","Didelphidae","SUBSPECIES","1"
"Dasypus novemcinctus novemcinctus","Dasypodidae","SUBSPECIES","1"
"Rhinophylla Peters, 1865","Phyllostomidae","GENUS","1"
"Rhipidomys caucensis J.A.Allen, 1913","Cricetidae","SPECIES","1"
"Histiotus humboldti Handley, 1996","Vespertilionidae","SPECIES","1"
"Dermanura anderseni (Osgood, 1916)","Phyllostomidae","SPECIES","1"
"Rhogeessa H.Allen, 1866","Vespertilionidae","GENUS","1"
