"scientific_name","family","taxonrank","gbif_rec"
"Boana rubracyla (Cochran & Goin, 1970)","Hylidae","SPECIES","1"
"Anomaloglossus Grant, Frost, Caldwell, Gagliardo, Haddad, Kok, Means, Noonan, Schargel & Wheeler, 2006","Aromobatidae","GENUS","1"
"Phyllomedusa hypochondrialis (Daudin, 1800)","Phyllomedusidae","SPECIES","1"
"Oscaecilia polyzona (Fischer, 1880)","Caeciliidae","SPECIES","1"
"Oedipina parvipes (Peters, 1879)","Plethodontidae","SPECIES","1"
"Pristimantis calima Ospina-Sarria & Duellman, 2019","Craugastoridae","SPECIES","1"
"Nelsonophryne aterrima (Günther, 1901)","Microhylidae","SPECIES","1"
"Leptodactylus peritoaktites Heyer, 2005","Leptodactylidae","SPECIES","1"
"Leptodactylus insularum Barbour, 1906","Leptodactylidae","SPECIES","1"
"Leptodactylus bolivianus Boulenger, 1898","Leptodactylidae","SPECIES","1"
"Hypsiboas pellucens (Werner, 1901)","Hylidae","SPECIES","1"
"Hyloscirtus phyllognathus (Melin, 1941)","Hylidae","SPECIES","1"
"Hyloscirtus Peters, 1882","Hylidae","GENUS","1"
"Hyla labialis Peters, 1863","Hylidae","SPECIES","1"
"Pristimantis hectus (Lynch & Burrowes, 1990)","Craugastoridae","SPECIES","1"
"Pristimantis hybotragus (Lynch, 1992)","Craugastoridae","SPECIES","1"
"Pristimantis ingles Cuellar-Valencia, Arriaga-Jaramillo, Garcia-Gómez, Ceballos-Castro, Bolívar-G., Velasquez-Trujillo, Ortiz-Baez & Ospina-Sarria, 2021","Craugastoridae","SPECIES","1"
"Hyalinobatrachium Ruiz-Carranza & Lynch, 1991","Centrolenidae","GENUS","1"
"Gymnophiona",NULL,"ORDER","1"
"Gastrotheca nicefori Gaige, 1933","Hemiphractidae","SPECIES","1"
"Gastrotheca Fitzinger, 1843","Hemiphractidae","GENUS","1"
"Gastrotheca cornuta (Boulenger, 1898)","Hemiphractidae","SPECIES","1"
"Epipedobates femoralis (Boulenger, 1884)","Aromobatidae","SPECIES","1"
"Eleutherodactylus ventrimarmoratus (Boulenger, 1912)","Craugastoridae","SPECIES","1"
"Eleutherodactylus fitzingeri (Schmidt, 1857)","Craugastoridae","SPECIES","1"
"Pristimantis obmutescens (Lynch, 1980)","Craugastoridae","SPECIES","1"
"Eleutherodactylus diogenes Lynch & Ruiz-Carranza, 1996","Craugastoridae","SPECIES","1"
"Eleutherodactylus conspicillatus (Günther, 1858)","Craugastoridae","SPECIES","1"
"Eleutherodactylus achatinus (Boulenger, 1898)","Craugastoridae","SPECIES","1"
"Eleutherodactylidae","Eleutherodactylidae","FAMILY","1"
"Ecnomiohyla miliaria (Cope, 1886)","Hylidae","SPECIES","1"
